"","Plot","Yr","dwdC.tacre","dwdC.gm2","dwdC.Mgha","AGunderstoryC.tacre","BGunderstoryC.tacre","AGunderstoryC.gm2","BGunderstoryC.gm2","AGunderstoryC.Mgha","BGunderstoryC.Mgha","litterC.tacre","litterC.gm2","litterC.Mgha","foresttype"
"2839",49892,2008,2.083704,467.10392568,4.6710392568,1.236412,0.137379,277.16647804,30.79625043,2.7716647804,0.3079625043,10.485883,2350.62039211,23.5062039211,"mountain-hemlock"
"2840",49892,2019,0.327684,73.45692228,0.7345692228,1.19879175,0.13319925,268.7331465975,29.8592758725,2.687331465975,0.298592758725,6.4260315,1440.523481355,14.40523481355,"mountain-hemlock"
"2841",49918,1999,12.988108,2911.54417036,29.1154417036,0.933447,0.103716,209.25081399,23.25001572,2.0925081399,0.2325001572,25.38225,5689.9389825,56.899389825,"western-hemlock"
"2842",49918,2006,22.712043,5091.35867931,50.9135867931,1.036552,0.115172,232.36386184,25.81810724,2.3236386184,0.2581810724,13.104786,2937.69987762,29.3769987762,"western-hemlock"
"2843",49918,2017,24.19945575102,5424.79199570615,54.2479199570615,1.104488384703,0.122720607218,247.593161198872,27.5102785200591,2.47593161198871,0.275102785200591,13.487929439677,3023.58914249239,30.2358914249239,"western-hemlock"
"2844",49943,2005,2.51646475,564.1159030075,5.641159030075,0.2501755,0.02779725,56.081841835,6.2313095325,0.56081841835,0.062313095325,3.62133875,811.7955075875,8.117955075875,"sitka-spruce"
"2845",49998,2002,3.353774,751.81551758,7.5181551758,1.260766,0.140085,282.62591422,31.40285445,2.8262591422,0.3140285445,19.795123,4437.47272291,44.3747272291,"sitka-spruce"
"2846",49998,2010,8.395873,1882.10285041,18.8210285041,1.028437,0.114271,230.54472229,25.61613007,2.3054472229,0.2561613007,11.586245,2597.28854165,25.9728854165,"sitka-spruce"
"2847",50001,1996,5.731197,1284.76243149,12.8476243149,1.115274,0.123919,250.01097258,27.77892223,2.5001097258,0.2777892223,26.368912,5911.11900304,59.1111900304,"western-hemlock"
"2848",50247,1997,11.369254,2548.64566918,25.4864566918,0.934084,0.103787,209.39361028,23.26593179,2.0939361028,0.2326593179,21.597085,4841.41854445,48.4141854445,"mountain-hemlock"
"2849",50247,2008,20.136257,4513.94473169,45.1394473169,1.011067,0.112341,226.65088939,25.18348197,2.2665088939,0.2518348197,15.868944,3557.34117648,35.5734117648,"mountain-hemlock"
"2850",50247,2019,20.008572,4485.32158524,44.8532158524,1.004657,0.111629,225.21395969,25.02387293,2.2521395969,0.2502387293,15.676374,3514.17275958,35.1417275958,"mountain-hemlock"
"2851",50296,1995,10.374843,2325.72855531,23.2572855531,0.980127,0.108903,219.71506959,24.41278551,2.1971506959,0.2441278551,28.382292,6362.45839764,63.6245839764,"western-hemlock"
"2852",50296,2008,19.796531,4437.78835427,44.3778835427,0.900182,0.10002,201.79379894,22.4214834,2.0179379894,0.224214834,10.606039,2377.55576263,23.7755576263,"western-hemlock"
"2853",50296,2019,21.10797884625,4731.77561796386,47.3177561796386,1.34845299375,0.14982837925,302.282707608937,33.5870277764725,3.02282707608937,0.335870277764725,12.354390621,2769.48374550957,27.6948374550957,"western-hemlock"
"2854",50297,1997,6.024111,1350.42496287,13.5042496287,1.103179,0.122575,247.29963643,27.47763775,2.4729963643,0.2747763775,27.832368,6239.18193456,62.3918193456,"western-redcedar"
"2855",50297,2010,11.72471825,2628.3300901025,26.283300901025,0.955211,0.10613475,214.12964987,23.7922269075,2.1412964987,0.237922269075,14.3487655,3216.562762135,32.16562762135,"western-redcedar"
"2856",50355,1996,6.583706,1475.86937402,14.7586937402,1.021528,0.113503,228.99593176,25.44396751,2.2899593176,0.2544396751,20.485215,4592.17064655,45.9217064655,"alaska-yellow-cedar"
"2857",50355,2005,10.62479,2381.7591743,23.817591743,0.944552,0.10495,211.74022184,23.5266415,2.1174022184,0.235266415,10.803578,2421.83808026,24.2183808026,"alaska-yellow-cedar"
"2858",50355,2016,10.229409,2293.12661553,22.9312661553,0.950409,0.105601,213.05318553,23.67257617,2.1305318553,0.2367257617,10.881997,2439.41726749,24.3941726749,"alaska-yellow-cedar"
"2859",50361,1996,6.150263,1378.70445671,13.7870445671,1.032955,0.114773,231.55752235,25.72866341,2.3155752235,0.2572866341,20.985878,4704.40427126,47.0440427126,"alaska-yellow-cedar"
