"","Plot","Yr","LAT","LON","ELEV","Common.Name","biomass.Mg.ha.dead","biomass.Mg.ha.live","standingdead_C_Mg_ha","livetree_C_Mg_ha","carbonratio","BGtree_C_Mg_ha","foresttype","standingdead_C_gm2","livetree_C_gm2","BGtree_C_gm2","total_treeC_gm2","NPP_C_gm2y","Year_start_NPP","Year_end_NPP"
"178",832,2018,54.868769,-132.909368,900,"Sitka spruce",NA,1.44921207568723,NA,0.724606037843613,0.5,0.362303018921807,"western-hemlock",NA,72.4606037843613,36.2303018921807,108.690905676542,NA,NA,NA
"179",848,2005,60.685795,-148.293934,100,"Sitka spruce",90.0885972485228,4.29223608236177,45.0442986242614,2.14611804118089,0.5,1.07305902059044,"mountain-hemlock",4504.42986242614,214.611804118089,107.305902059044,321.917706177133,NA,NA,NA
"180",848,2005,60.685795,-148.293934,100,"mountain hemlock",NA,191.26110830254,NA,95.6305541512702,0.478,45.7114048843072,"mountain-hemlock",NA,9563.05541512702,4571.14048843072,14134.1959035577,NA,NA,NA
"181",940,1995,57.582665,-135.177469,1300,"Sitka spruce",NA,0.770639053144833,NA,0.385319526572416,0.5,0.192659763286208,"mountain-hemlock",NA,38.5319526572416,19.2659763286208,57.7979289858625,NA,NA,NA
"182",940,1995,57.582665,-135.177469,1300,"western hemlock",NA,23.8151155074055,NA,11.9075577537028,0.507,6.0371317811273,"mountain-hemlock",NA,1190.75577537028,603.71317811273,1794.46895348301,NA,NA,NA
"183",940,1995,57.582665,-135.177469,1300,"mountain hemlock",NA,749.794200604205,NA,374.897100302102,0.478,179.200813944405,"mountain-hemlock",NA,37489.7100302102,17920.0813944405,55409.7914246507,NA,NA,NA
"184",940,2008,57.582665,-135.177469,1300,"Sitka spruce",253.721487224383,1.767046610474,126.860743612192,0.883523305237001,0.5,0.441761652618501,"mountain-hemlock",12686.0743612192,88.3523305237001,44.1761652618501,132.52849578555,5.74850513843752,1995,2008
"185",940,2008,57.582665,-135.177469,1300,"western hemlock",150.374221103464,400.524220752075,75.1871105517319,200.262110376037,0.507,101.532889960651,"mountain-hemlock",7518.71105517319,20026.2110376037,10153.2889960651,30179.5000336688,2183.46392924506,1995,2008
"186",940,2008,57.582665,-135.177469,1300,"mountain hemlock",325.900856843288,1139.22634132911,162.950428421644,569.613170664554,0.478,272.275095577657,"mountain-hemlock",16295.0428421644,56961.3170664554,27227.5095577657,84188.826624221,2213.77193842848,1995,2008
"187",940,2019,57.582665,-135.177469,1300,"western hemlock",109.508376452361,384.854405660078,54.7541882261804,192.427202830039,0.507,97.5605918348299,"mountain-hemlock",5475.41882261804,19242.7202830039,9756.05918348299,28998.7794664869,-107.338233380173,2008,2019
"188",940,2019,57.582665,-135.177469,1300,"mountain hemlock",331.101598518191,1098.88906701567,165.550799259096,549.444533507833,0.478,262.634487016744,"mountain-hemlock",16555.0799259096,54944.4533507833,26263.4487016744,81207.9020524577,-270.993142887576,2008,2019
"189",940,2019,57.582665,-135.177469,1300,"Sitka spruce",NA,2.42028206839407,NA,1.21014103419704,0.5,0.605070517098518,"mountain-hemlock",NA,121.014103419704,60.5070517098518,181.521155129555,4.45387812218229,2008,2019
